Serial Number,Team Name,Driver Name,Track Name,File Path
1,AlpineRenault,EstebanOcon31,BahrainInternationalCircuitSakhir^Bahrain,/Volumes/Sandhya TB2/F1_LAP_DATA/BahrainInternationalCircuitSakhir^Bahrain_LAP/AlpineRenault_EstebanOcon31_BahrainInternationalCircuitSakhir^Bahrain_lap36.wav
2,AlpineRenault,EstebanOcon31,BahrainInternationalCircuitSakhir^Bahrain,/Volumes/Sandhya TB2/F1_LAP_DATA/BahrainInternationalCircuitSakhir^Bahrain_LAP/AlpineRenault_EstebanOcon31_BahrainInternationalCircuitSakhir^Bahrain_lap22.wav
3,AlpineRenault,PierreGasly10,BahrainInternationalCircuitSakhir^Bahrain,/Volumes/Sandhya TB2/F1_LAP_DATA/BahrainInternationalCircuitSakhir^Bahrain_LAP/AlpineRenault_PierreGasly10_BahrainInternationalCircuitSakhir^Bahrain_lap17.wav
4,AstonMartinAramcoMercedes,FernandoAlonso14,BahrainInternationalCircuitSakhir^Bahrain,/Volumes/Sandhya TB2/F1_LAP_DATA/BahrainInternationalCircuitSakhir^Bahrain_LAP/AstonMartinAramcoMercedes_FernandoAlonso14_BahrainInternationalCircuitSakhir^Bahrain_lap9.wav
5,AstonMartinAramcoMercedes,FernandoAlonso14,BahrainInternationalCircuitSakhir^Bahrain,/Volumes/Sandhya TB2/F1_LAP_DATA/BahrainInternationalCircuitSakhir^Bahrain_LAP/AstonMartinAramcoMercedes_FernandoAlonso14_BahrainInternationalCircuitSakhir^Bahrain_lap8.wav
6,AlpineRenault,PierreGasly10,BahrainInternationalCircuitSakhir^Bahrain,/Volumes/Sandhya TB2/F1_LAP_DATA/BahrainInternationalCircuitSakhir^Bahrain_LAP/AlpineRenault_PierreGasly10_BahrainInternationalCircuitSakhir^Bahrain_lap16.wav
7,AlpineRenault,EstebanOcon31,BahrainInternationalCircuitSakhir^Bahrain,/Volumes/Sandhya TB2/F1_LAP_DATA/BahrainInternationalCircuitSakhir^Bahrain_LAP/AlpineRenault_EstebanOcon31_BahrainInternationalCircuitSakhir^Bahrain_lap23.wav
8,AlpineRenault,EstebanOcon31,BahrainInternationalCircuitSakhir^Bahrain,/Volumes/Sandhya TB2/F1_LAP_DATA/BahrainInternationalCircuitSakhir^Bahrain_LAP/AlpineRenault_EstebanOcon31_BahrainInternationalCircuitSakhir^Bahrain_lap37.wav
9,AlpineRenault,EstebanOcon31,BahrainInternationalCircuitSakhir^Bahrain,/Volumes/Sandhya TB2/F1_LAP_DATA/BahrainInternationalCircuitSakhir^Bahrain_LAP/AlpineRenault_EstebanOcon31_BahrainInternationalCircuitSakhir^Bahrain_lap21.wav
10,AlpineRenault,EstebanOcon31,BahrainInternationalCircuitSakhir^Bahrain,/Volumes/Sandhya TB2/F1_LAP_DATA/BahrainInternationalCircuitSakhir^Bahrain_LAP/AlpineRenault_EstebanOcon31_BahrainInternationalCircuitSakhir^Bahrain_lap35.wav
11,AstonMartinAramcoMercedes,FernandoAlonso14,BahrainInternationalCircuitSakhir^Bahrain,/Volumes/Sandhya TB2/F1_LAP_DATA/BahrainInternationalCircuitSakhir^Bahrain_LAP/AstonMartinAramcoMercedes_FernandoAlonso14_BahrainInternationalCircuitSakhir^Bahrain_lap49.wav
12,AlpineRenault,PierreGasly10,BahrainInternationalCircuitSakhir^Bahrain,/Volumes/Sandhya TB2/F1_LAP_DATA/BahrainInternationalCircuitSakhir^Bahrain_LAP/AlpineRenault_PierreGasly10_BahrainInternationalCircuitSakhir^Bahrain_lap28.wav
13,AlpineRenault,PierreGasly10,BahrainInternationalCircuitSakhir^Bahrain,/Volumes/Sandhya TB2/F1_LAP_DATA/BahrainInternationalCircuitSakhir^Bahrain_LAP/AlpineRenault_PierreGasly10_BahrainInternationalCircuitSakhir^Bahrain_lap14.wav
14,AlpineRenault,PierreGasly10,BahrainInternationalCircuitSakhir^Bahrain,/Volumes/Sandhya TB2/F1_LAP_DATA/BahrainInternationalCircuitSakhir^Bahrain_LAP/AlpineRenault_PierreGasly10_BahrainInternationalCircuitSakhir^Bahrain_lap15.wav
15,AlpineRenault,PierreGasly10,BahrainInternationalCircuitSakhir^Bahrain,/Volumes/Sandhya TB2/F1_LAP_DATA/BahrainInternationalCircuitSakhir^Bahrain_LAP/AlpineRenault_PierreGasly10_BahrainInternationalCircuitSakhir^Bahrain_lap29.wav
16,AstonMartinAramcoMercedes,FernandoAlonso14,BahrainInternationalCircuitSakhir^Bahrain,/Volumes/Sandhya TB2/F1_LAP_DATA/BahrainInternationalCircuitSakhir^Bahrain_LAP/AstonMartinAramcoMercedes_FernandoAlonso14_BahrainInternationalCircuitSakhir^Bahrain_lap48.wav
17,AlpineRenault,EstebanOcon31,BahrainInternationalCircuitSakhir^Bahrain,/Volumes/Sandhya TB2/F1_LAP_DATA/BahrainInternationalCircuitSakhir^Bahrain_LAP/AlpineRenault_EstebanOcon31_BahrainInternationalCircuitSakhir^Bahrain_lap34.wav
18,AlpineRenault,EstebanOcon31,BahrainInternationalCircuitSakhir^Bahrain,/Volumes/Sandhya TB2/F1_LAP_DATA/BahrainInternationalCircuitSakhir^Bahrain_LAP/AlpineRenault_EstebanOcon31_BahrainInternationalCircuitSakhir^Bahrain_lap20.wav
19,AlpineRenault,EstebanOcon31,BahrainInternationalCircuitSakhir^Bahrain,/Volumes/Sandhya TB2/F1_LAP_DATA/BahrainInternationalCircuitSakhir^Bahrain_LAP/AlpineRenault_EstebanOcon31_BahrainInternationalCircuitSakhir^Bahrain_lap18.wav
20,AlpineRenault,EstebanOcon31,BahrainInternationalCircuitSakhir^Bahrain,/Volumes/Sandhya TB2/F1_LAP_DATA/BahrainInternationalCircuitSakhir^Bahrain_LAP/AlpineRenault_EstebanOcon31_BahrainInternationalCircuitSakhir^Bahrain_lap24.wav
21,AlpineRenault,EstebanOcon31,BahrainInternationalCircuitSakhir^Bahrain,/Volumes/Sandhya TB2/F1_LAP_DATA/BahrainInternationalCircuitSakhir^Bahrain_LAP/AlpineRenault_EstebanOcon31_BahrainInternationalCircuitSakhir^Bahrain_lap30.wav
22,AstonMartinAramcoMercedes,FernandoAlonso14,BahrainInternationalCircuitSakhir^Bahrain,/Volumes/Sandhya TB2/F1_LAP_DATA/BahrainInternationalCircuitSakhir^Bahrain_LAP/AstonMartinAramcoMercedes_FernandoAlonso14_BahrainInternationalCircuitSakhir^Bahrain_lap58.wav
